Area,,Population_2000,Population_2009,,HouseholdPopulation_2000,HouseholdPopulation_2009,,HousingUnits_2000,HousingUnits_2009,,SchoolEnrollment_2000,SchoolEnrollment_2009,,QCEW_2000,QCEW_2009,,Births_2000,Births_2009,,Deaths_2000,Deaths_2009,,RegisteredVehicles_2000,RegisteredVehicles_2009,,RegisteredVoters_2000,RegisteredVoters_2009,,Small,DenverMetro,Tourism,Prison
ADAMS COUNTY,,351735,442971,,348321,439290,,128749,164383,,58054.491,78134.265,,137412.0754,150889.1667,,6573.633,7699,,2127.411,2359,,304173.837,382320,,193614.498,223865,,0,1,0,0
ALAMOSA COUNTY,,15099,15873,,14104,14878,,6147,6608,,2760,2369,,7062.428571,7582.5,,231,272,,113,89,,16120,18391,,9112,8940,,1,0,0,0
ARAPAHOE COUNTY,,490722,571598,,485875,565638,,198574,233627,,96485,109792,,280801.8571,272191.8333,,7111,8124,,2909,3182,,411628,476131,,286186,338368,,0,1,0,0
ARCHULETA COUNTY,,10043,12424,,9959,12340,,6298,8642,,1558,1517,,3038.285714,3312.833333,,104,111,,60,94,,13167,18861,,7511,9148,,1,0,0,0
BACA COUNTY,,4499,4032,,4414,3947,,2364,2407,,918,1003,,1278.857143,1191.333333,,55,38,,67,69,,7533,7429,,3133,2868,,1,0,0,0
BENT COUNTY,,5967,6653,,5041,4437,,2370,2445,,974,851,,1573.714286,1299.666667,,66,63,,64,69,,6304,6068,,3353,2741,,1,0,0,0
BOULDER COUNTY,,276255,302162,,267749,292283,,114132,127053,,43640.528,51610.61,,161461.99,153571.1667,,3443.794,3187,,1337.144,1512,,228461.794,251805,,182027.524,219453,,0,1,0,0
BROOMFIELD COUNTY,,38544,55861,,38537,55854,,14434,21429,,6095.981,7635.125,,19077.22029,29880.83333,,570.573,693,,202.445,244,,31924.369,47578,,23245.978,35893,,0,0,0,0
CHAFFEE COUNTY,,16312,17322,,14949,15956,,8454,10348,,2270,2054,,6283.285714,6464.166667,,137,156,,146,143,,22187,26862,,9980,12174,,1,0,0,0
CHEYENNE COUNTY,,2216,1949,,2186,1919,,1106,1121,,472,285,,731.4285714,744,,23,22,,15,34,,3796,4164,,1720,1400,,1,0,0,0
CLEAR CREEK COUNTY,,9361,9146,,9319,9104,,5170,5504,,1327,974,,3009.714286,3268.5,,110,76,,38,43,,14583,15340,,8017,7379,,1,1,0,0
