Area,,Population_1990,Population_2000,,HouseholdPopulation_1990,HouseholdPopulation_2000,,HousingUnits_1990,HousingUnits_2000,,SchoolEnrollment_1990,SchoolEnrollment_2000,,QCEW_1990,QCEW_2000,,Births_1990,Births_2000,,Deaths_1990,Deaths_2000,,RegisteredVehicles_1990,RegisteredVehicles_2000,,RegisteredVoters_1990,RegisteredVoters_2000,,Small,DenverMetro,Tourism,Prison
ADAMS COUNTY,,265038,363857,,262311,360443,,106947,132594,,47701,60663,,99033.25,144625.3333,,4792,6869,,1495,2115,,279748,317841,,129969,202314,,0,1,0,0
ALAMOSA COUNTY,,13617,14966,,12619,13971,,5254,6088,,2748,2760,,5429,7172.083333,,250,231,,97,106,,16497,16120,,6052,9112,,1,0,0,0
ARAPAHOE COUNTY,,391511,487967,,388399,483120,,168665,196835,,76901,96485,,178694.5833,283972.4167,,6182,7111,,1771,2711,,381060,411628,,225006,286186,,0,1,0,0
ARCHULETA COUNTY,,5345,9898,,5345,9814,,3951,6212,,1117,1558,,1600.833333,3077.833333,,85,104,,33,56,,7993,13167,,3414,7511,,1,0,0,0
BACA COUNTY,,4556,4517,,4482,4432,,2434,2364,,856,918,,981.3333333,1265.666667,,56,55,,55,74,,10724,7533,,3133,3133,,1,0,0,0
BENT COUNTY,,5048,5998,,4676,5072,,2332,2366,,906,974,,1500.916667,1561.583333,,62,66,,58,65,,7997,6304,,2708,3353,,1,0,0,0
BOULDER COUNTY,,225339,291288,,216699,282775,,94621,119900,,36572,47128,,118087,179663.0833,,3275,3719,,1080,1388,,275300,246719,,149717,196574,,0,1,0,0
CHAFFEE COUNTY,,12684,16242,,11526,14879,,6547,8392,,2143,2270,,4640.916667,6362.416667,,133,137,,114,134,,21923,22187,,7456,9980,,1,0,0,0
CHEYENNE COUNTY,,2397,2231,,2352,2201,,1083,1105,,543,472,,2222.166667,732.0833333,,36,23,,29,15,,4377,3796,,1477,1720,,1,0,0,0
CLEAR CREEK COUNTY,,7619,9322,,7574,9280,,4811,5128,,1392,1327,,2283.5,2902.583333,,110,110,,35,39,,14149,14583,,4995,8017,,1,1,0,0
CONEJOS COUNTY,,7453,8400,,7423,8347,,3574,3886,,1952,1959,,1307.666667,1604.333333,,133,142,,59,85,,10528,10785,,4524,5279,,1,0,0,0
COSTILLA COUNTY,,3190,3663,,3188,3663,,1743,2202,,687,631,,727,840.6666667,,47,40,,25,37,,4814,4871,,2536,2727,,1,0,0,0
CROWLEY COUNTY,,3946,5518,,2915,3522,,1415,1542,,556,610,,768.5833333,1128.416667,,41,45,,38,34,,4658,4399,,1904,2349,,1,0,0,1
CUSTER COUNTY,,1926,3503,,1925,3487,,2216,2989,,343,471,,386.4166667,845.5,,19,35,,11,21,,4168,6179,,1653,3018,,1,0,0,0
DELTA COUNTY,,20980,27834,,20480,26918,,10082,12374,,3923,4799,,4823,7403.583333,,234,296,,268,330,,33324,37199,,11765,18979,,1,0,0,0
DENVER COUNTY,,467610,554636,,456760,541917,,239636,251435,,59013,70847,,365498.3333,469547.1667,,8443,9544,,4402,4390,,399543,442718,,286039,311032,,0,1,0,0
DOLORES COUNTY,,1504,1844,,1504,1844,,947,1193,,322,332,,355.1666667,445.25,,18,21,,14,18,,3136,3281,,1034,1478,,1,0,0,0
DOUGLAS COUNTY,,60391,175766,,60174,175300,,22291,63333,,13125,34918,,16587,56638.83333,,1169,3281,,153,438,,69045,152869,,40986,114787,,0,1,0,0
EAGLE COUNTY,,21928,41659,,21812,41306,,15226,22111,,2701,4649,,15101.66667,28199.66667,,418,774,,42,80,,32661,49729,,11869,23304,,1,0,1,0
ELBERT COUNTY,,9646,19872,,9601,19837,,3997,7113,,2093,4028,,1192.333333,3037.5,,139,208,,54,91,,18561,29264,,6193,14673,,1,0,0,0
EL PASO COUNTY,,397014,516929,,381460,501533,,165056,202428,,71181,94012,,157937.5,237586.75,,7478,8276,,2153,2914,,364555,443867,,198967,298959,,0,0,0,0
FREMONT COUNTY,,32273,46145,,28370,37002,,13683,17145,,5289,6468,,8500.166667,13617.33333,,339,473,,414,462,,42011,45266,,19857,29105,,1,0,0,1
GARFIELD COUNTY,,29974,43791,,29283,42942,,12517,17336,,6680,9472,,12162.08333,19307.91667,,469,733,,199,242,,38591,52409,,16048,29112,,1,0,0,0
GILPIN COUNTY,,3070,4757,,3068,4733,,2438,2929,,345,444,,416.0833333,5445.5,,38,72,,11,17,,6724,7479,,2315,3682,,1,1,0,0
