"Area",,"Population_1990","Population_2000",,"Medicare_1990","Medicare_2000"
"Alabama",,522989,579798,,582062,685443
"Alaska",,22369,35699,,24958,42015
"Arizona",,478774,667839,,498116,675430
"Arkansas",,350058,374019,,390738,439371
"California",,3135552,3595658,,3279233,3901323
"Colorado",,329443,416073,,357826,467455
"Connecticut",,445907,470183,,468975,515288
"Delaware",,80735,101726,,88278,112090
"District of Columbia",,77847,69898,,77866,75325
"Florida",,2369431,2807597,,2339154,2803961
"Georgia",,654270,785275,,731969,916067
"Hawaii",,125005,160601,,126934,165265
"Idaho",,121265,145916,,132110,165021
"Illinois",,1436545,1500025,,1533653,1635047
"Indiana",,696196,752831,,761946,852228
"Iowa",,426106,436213,,456800,476719
"Kansas",,342571,356229,,363496,390423
"Kentucky",,466845,504793,,533604,622908
"Louisiana",,468991,516929,,531018,601516
"Maine",,163373,183402,,182941,216459
"Maryland",,517482,599307,,541481,645450
"Massachusetts",,819284,860162,,866869,960722
"Michigan",,1108461,1219018,,1232672,1403325
"Minnesota",,546934,594266,,588204,654405
"Mississippi",,321284,343523,,365704,418527
"Missouri",,717681,755379,,781126,860558
"Montana",,106497,120949,,117381,136726
"Nebraska",,223068,232195,,237334,253639
"Nevada",,127631,218929,,140948,239746
"New Hampshire",,125029,147970,,137215,170070
"New Jersey",,1032025,1113136,,1092067,1203231
"New Mexico",,163062,212225,,179433,234319
"New York",,2363722,2448352,,2508901,2714837
"North Carolina",,804341,969048,,892183,1133419
"North Dakota",,91055,94478,,98396,103196
"Ohio",,1406961,1507757,,1543122,1701227
"Oklahoma",,424213,455950,,451115,507849
"Oregon",,391324,438177,,423578,489312
"Pennsylvania",,1829106,1919165,,1955931,2095479
"Rhode Island",,150547,152402,,158843,171595
"South Carolina",,396935,485333,,441923,567854
"South Dakota",,102331,108131,,110159,119437
"Tennessee",,618818,703311,,691803,829246
"Texas",,1716576,2072532,,1823921,2265325
"Utah",,149958,190222,,159793,206056
"Vermont",,66163,77510,,74552,89028
"Virginia",,664470,792333,,721796,893048
"Washington",,575288,662148,,615148,735648
"West Virginia",,268897,276895,,307766,337811
"Wisconsin",,651221,702553,,713581,783003
"Wyoming",,47195,57693,,51847,65437
